,Unnamed: 0,user,timestamp,tweet_text,tweet_sentiment,link,included_symbols,bitcoin Returns,doge Returns,tesla Returns,google Returns,apple Returns,p_change
114,114,elonmusk,1618557237,🎸🎸 Austin Rocks!! 🎸 🎸,0.0,twitter.com/elonmusk/status/1382879908645392384,,0,0,0,0,0,-1
115,115,elonmusk,1618556414,@Model3Owners Same with Berlin,0.0,twitter.com/elonmusk/status/1382876456401833989,,0,0,0,0,0,-1
116,116,elonmusk,1618556374,"@Model3Owners Limited production of Model Y this year, high volume next year",-0.2263,twitter.com/elonmusk/status/1382876290663927808,,0,0,0,0,0,-1
117,117,elonmusk,1618555962,"@Model3Owners I was just there, driving Cybertruck around the site where it will be built!",0.0,twitter.com/elonmusk/status/1382874560433778695,,0,0,0,0,0,-1
118,118,elonmusk,1618552237,Make life multiplanetary! #Mars,0.0,twitter.com/elonmusk/status/1382858937792307202,,0,0,0,0,0,-1
119,119,elonmusk,1618548265,"@Erdayastronaut @thesheetztweetz Yeah, should be fully mobile later this year, so you can move it anywhere or use i… https://t.co/kCmxyQhaAN",0.296,twitter.com/elonmusk/status/1382842277719003136,,0,0,0,0,0,-1
120,120,elonmusk,1618547614,"@thesheetztweetz This is accurate. Service uptime, bandwidth &amp; latency are improving rapidly. Probably out of beta this summer.",0.4215,twitter.com/elonmusk/status/1382839546484641794,,0,0,0,0,0,-1
121,121,elonmusk,1618539047,@sadiaslayy @DogecoinBets 😮,0.0,twitter.com/elonmusk/status/1382803612829581317,121.0,0,0,0,0,0,-1
122,122,elonmusk,1618520084,@lexfridman One of many reasons that we need to make life multiplanetary!,0.0,twitter.com/elonmusk/status/1382724076330917893,,0,0,0,0,0,-1
123,123,elonmusk,1618486253,@austinbarnard45 Aiming to launch next week,0.0,twitter.com/elonmusk/status/1382582177943015431,,0,0,0,0,0,-1
124,124,elonmusk,1618479526,@billhuang688 @RationalEtienne @F9Block5 Certainly one of the largest. A company whose name rhymes with Shmoogle is… https://t.co/CUQXAF9PYU,0.34,twitter.com/elonmusk/status/1382553963166326785,,0,0,0,0,0,-1
125,125,elonmusk,1618479198,Doge Barking at the Moon https://t.co/QFB81D7zOL,0.0,twitter.com/elonmusk/status/1382552587099062272,125.0,0,0,0,0,0,-1
126,126,elonmusk,1618478927,@WSBChairman Doge Barking at the Moon – Miro https://t.co/1vTM2XOusy,0.0,twitter.com/elonmusk/status/1382551451185131522,126.0,0,0,0,0,0,-1
127,127,elonmusk,1618478397,"@RationalEtienne @F9Block5 While perhaps obvious in hindsight, it turns out that the only way to solve self-driving… https://t.co/iTREuurL8p",0.2023,twitter.com/elonmusk/status/1382549229726498821,,0,0,0,0,0,-1
128,128,elonmusk,1618476420,Le Petit Prince,0.0,twitter.com/elonmusk/status/1382540937700671488,,0,0,0,0,0,-1
129,129,elonmusk,1618476155,"☾

           🔭𖨆♡",0.0,twitter.com/elonmusk/status/1382539825421582339,,0,0,0,0,0,-1
130,130,elonmusk,1618462106,@SpaceXMR Soon it will be real,0.0,twitter.com/elonmusk/status/1382480900257058818,,0,0,0,0,0,-1
131,131,elonmusk,1618461025,"@janixos @ErcXspace @SpaceX Actually, yes. And Red Rocket truck stop.",0.128,twitter.com/elonmusk/status/1382476365727887361,,0,0,0,0,0,-1
