timestamp,date,close,change,p_change
1614022740, 2021-02-22,389.11,-0.01,-2.5699E-05
1614022800, 2021-02-22,389.1,-0.01,-2.56997E-05
1614022860, 2021-02-22,389.13,0.03,7.7101E-05
1614022920, 2021-02-22,389.09,-0.04,-0.000102793
1614022980, 2021-02-22,389.08,-0.01,-2.5701E-05
1614023040, 2021-02-22,389.03,-0.05,-0.000128508
1614023100, 2021-02-22,389.07,0.04,0.00010282
1614023160, 2021-02-22,389,-0.07,-0.000179916
1614023220, 2021-02-22,388.94,-0.06,-0.000154242
1614023280, 2021-02-22,388.95,0.01,2.57109E-05
1614023340, 2021-02-22,388.89,-0.06,-0.000154261
1614023400, 2021-02-22,389.02,0.13,0.000334285
1614023460, 2021-02-22,389.09,0.07,0.000179939
1614023520, 2021-02-22,388.96,-0.13,-0.000334113
1614023580, 2021-02-22,388.87,-0.09,-0.000231386
1614023640, 2021-02-22,388.76,-0.11,-0.000282871
1614023700, 2021-02-22,388.77,0.01,2.57228E-05
1614023760, 2021-02-22,388.85,0.08,0.000205777
1614023820, 2021-02-22,388.9,0.05,0.000128584
1614023880, 2021-02-22,388.89,-0.01,-2.57136E-05
1614023940, 2021-02-22,388.91,0.02,5.14284E-05
1614024000, 2021-02-22,388.84,-0.07,-0.00017999
1614024060, 2021-02-22,388.78,-0.06,-0.000154305
1614024120, 2021-02-22,388.71,-0.07,-0.00018005
1614024180, 2021-02-22,388.68,-0.03,-7.71784E-05
1614024240, 2021-02-22,388.56,-0.12,-0.000308737
1614024300, 2021-02-22,388.54,-0.02,-5.14721E-05
1614024360, 2021-02-22,388.46,-0.08,-0.000205899
1614024420, 2021-02-22,388.41,-0.05,-0.000128713
1614024480, 2021-02-22,388.36,-0.05,-0.00012873
1614024540, 2021-02-22,388.41,0.05,0.000128747
1614024600, 2021-02-22,388.46,0.05,0.00012873
1614024660, 2021-02-22,388.37,-0.09,-0.000231684
1614024720, 2021-02-22,388.35,-0.02,-5.14973E-05
1614024780, 2021-02-22,388.27,-0.08,-0.000206
1614024840, 2021-02-22,388.23,-0.04,-0.000103021
1614024900, 2021-02-22,388.39,0.16,0.000412127
1614024960, 2021-02-22,388.37,-0.02,-5.14946E-05
1614025020, 2021-02-22,388.21,-0.16,-0.000411978
1614025080, 2021-02-22,388.26,0.05,0.000128796
1614025140, 2021-02-22,388.18,-0.08,-0.000206047
1614025200, 2021-02-22,388.21,0.03,7.72837E-05
1614025260, 2021-02-22,388.18,-0.03,-7.72778E-05
1614025320, 2021-02-22,388.11,-0.07,-0.000180329
1614025380, 2021-02-22,388.15,0.04,0.000103064
1614025440, 2021-02-22,388.02,-0.13,-0.000334922
1614025500, 2021-02-22,388,-0.02,-5.15437E-05
1614025560, 2021-02-22,387.97,-0.03,-7.73196E-05
1614025620, 2021-02-22,387.94,-0.03,-7.73256E-05
1614025680, 2021-02-22,387.86,-0.08,-0.000206217
1614025740, 2021-02-22,387.68,-0.18,-0.000464085
1614025800, 2021-02-22,387.9,0.22,0.000567478
1614025860, 2021-02-22,388,0.1,0.000257798
1614025920, 2021-02-22,387.88,-0.12,-0.000309278
1614025980, 2021-02-22,387.87,-0.01,-2.57812E-05
1614026040, 2021-02-22,387.78,-0.09,-0.000232037
1614026100, 2021-02-22,387.64,-0.14,-0.000361029
1614026160, 2021-02-22,387.47,-0.17,-0.000438551
1614026220, 2021-02-22,387.73,0.26,0.00067102
1614026280, 2021-02-22,387.68,-0.05,-0.000128956
1614026340, 2021-02-22,387.57,-0.11,-0.000283739
1614026400, 2021-02-22,387.45,-0.12,-0.000309621
1614026460, 2021-02-22,387.45,0,0
1614026520, 2021-02-22,387.59,0.14,0.000361337
1614026580, 2021-02-22,387.72,0.13,0.000335406
1614026640, 2021-02-22,387.56,-0.16,-0.000412669
1614026700, 2021-02-22,387.72,0.16,0.000412839
1614026760, 2021-02-22,387.83,0.11,0.00028371
1614026820, 2021-02-22,387.77,-0.06,-0.000154707
1614026880, 2021-02-22,387.69,-0.08,-0.000206308
1614026940, 2021-02-22,387.71,0.02,5.15876E-05
1614027000, 2021-02-22,387.23,-0.48,-0.001238039
1614027060, 2021-02-22,387.21,-0.02,-5.16489E-05
1614027120, 2021-02-22,387.22,0.01,2.58258E-05
1614027180, 2021-02-22,387.46,0.24,0.000619803
1614027240, 2021-02-22,387.17,-0.29,-0.000748464
1614027300, 2021-02-22,387.36,0.19,0.000490741
1614027360, 2021-02-22,387.07,-0.29,-0.000748658
1614027420, 2021-02-22,387.09,0.02,5.16702E-05
1614027480, 2021-02-22,387.14,0.05,0.000129169
